gene,stage,annotation
CG10078,6,"('yolk nuclei',)"
CG10079,2,"('subset', 'ectoderm anlage in statu nascendi', 'anlage in statu nascendi', 'trunk mesoderm anlage in statu nascendi', 'mesoderm anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'mesectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'visual anlage in statu nascendi', 'procephalic ectoderm anlage in statu nascendi')"
CG10079,3,"('mesectoderm primordium', 'ventral ectoderm primordium P2', 'head mesoderm primordium P4', 'visual anlage', 'clypeolabrum anlage')"
CG10079,4,"('foregut primordium', 'visual primordium', 'ventral ectoderm primordium', 'trunk mesoderm primordium', 'clypeolabrum primordium P2')"
CG10079,5,"('clypeo-labral primordium', 'labral sensory complex primordium', 'ventral epidermis primordium', 'embryonic optic lobe primordium', 'visceral muscle primordium', 'somatic muscle primordium', 'gnathal primordium', 'stomatogastric nervous system primordium', 'trunk mesoderm primordium')"
CG10079,6,"('labral sensory complex', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'atrium')"
CG10082,1,"('maternal', 'pole plasm')"
CG10082,2,"('yolk nuclei', 'faint ubiquitous', 'dorsal ectoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'amnioserosa anlage in statu nascendi')"
CG10082,3,"('dorsal ectoderm primordium', 'faint ubiquitous', 'yolk nuclei', 'posterior endoderm primordium P2', 'amnioserosa anlage')"
CG10082,4,"('amnioserosa', 'dorsal ectoderm primordium', 'faint ubiquitous', 'yolk nuclei')"
CG10082,5,"('foregut primordium', 'amnioserosa', 'posterior midgut primordium', 'hindgut proper primordium', 'faint ubiquitous', 'dorsal epidermis primordium')"
CG10082,6,"('embryonic central nervous system', 'embryonic optic lobe', 'embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx', 'ventral nerve cord', 'gonad', 'embryonic brain', 'embryonic midgut', 'embryonic hindgut', 'yolk nuclei', 'faint ubiquitous')"
CG10086,6,"('embryonic Malpighian tubule', 'embryonic main segment of Malpighian tubule', 'embryonic hindgut')"
CG1009,1,"('maternal',)"
CG1009,5,"('anterior midgut primordium', 'posterior midgut primordium', 'hindgut proper primordium', 'brain primordium', 'ventral nerve cord primordium')"
CG10106,1,"('maternal', 'ubiquitous')"
CG10106,2,"('cellular blastoderm', 'yolk', 'ubiquitous', 'apically cleared')"
CG10106,5,"('embryonic central brain glia', 'ventral midline glia', 'posterior spiracle specific anlage', 'hindgut proper primordium', 'brain primordium', 'dorsal epidermis primordium', 'ventral nerve cord primordium')"
CG10106,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic/larval posterior spiracle', 'embryonic brain', 'embryonic central nervous system', 'embryonic hypopharynx', 'embryonic epipharynx', 'embryonic foregut', 'embryonic head epidermis', 'embryonic proventriculus', 'embryonic esophagus', 'ventral nerve cord', 'ventral midline', 'embryonic hindgut', 'embryonic Malpighian tubule', 'embryonic small intestine', 'embryonic large intestine', 'ubiquitous')"
CG10107,1,"('maternal', 'ubiquitous')"
CG10107,2,"('cellular blastoderm', 'ubiquitous')"
CG10107,3,"('ubiquitous',)"
CG10107,4,"('procephalic ectoderm primordium', 'ubiquitous')"
CG10107,5,"('embryonic central brain neuron', 'lateral cord neuron', 'ubiquitous')"
CG10107,6,"('faint ubiquitous',)"
CG10108,2,"('subset', 'anlage in statu nascendi', 'procephalic ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'dorsal ectoderm anlage')"
CG10108,3,"('procephalic ectoderm anlage', 'ventral ectoderm primordium P2', 'dorsal ectoderm primordium')"
CG10108,4,"('dorsal ectoderm primordium', 'procephalic ectoderm primordium', 'visual primordium', 'ventral ectoderm primordium', 'ventral nerve cord primordium P3', 'central brain primordium P3')"
CG10108,5,"('stomatogastric nervous system primordium', 'brain primordium', 'ventral epidermis primordium', 'dorsal epidermis primordium', 'ventral nerve cord primordium', 'visual primordium2')"
CG10108,6,"('embryonic central brain neuron', 'embryonic stomatogastric nervous system', 'lateral cord neuron', 'embryonic brain', 'ventral nerve cord')"
CG10112,6,"('embryonic head epidermis', 'embryonic esophagus', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic/larval posterior spiracle', 'embryonic/larval tracheal system', 'embryonic/larval visceral branch', 'embryonic tracheole')"
CG10118,6,"('embryonic foregut', 'embryonic proventriculus', 'ventral midline', 'atrium', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic anal pad', 'embryonic epipharynx', 'embryonic hypopharynx', 'embryonic hindgut')"
CG10119,1,"('maternal',)"
CG10120,1,"('maternal',)"
CG10120,2,"('pole cell',)"
CG10120,5,"('ventral midline neuroblast', 'procrystal cell', 'brain primordium', 'ventral nerve cord primordium', 'yolk nuclei')"
CG10120,6,"('embryonic central nervous system', 'ventral nerve cord', 'ventral midline', 'embryonic/larval oenocyte', 'plasmatocytes', 'crystal cell', 'embryonic/larval muscle system', 'embryonic brain', 'embryonic dorsal epidermis', 'embryonic/larval somatic muscle', 'yolk nuclei')"
CG10121,5,"('somatic muscle primordium', 'visceral muscle primordium', 'brain primordium', 'ventral nerve cord primordium', 'trunk mesoderm primordium')"
CG10121,6,"('embryonic stomatogastric nervous system', 'embryonic hypocerebral ganglion', 'embryonic esophageal ganglion', 'sensory nervous system primordium', 'embryonic central nervous system', 'embryonic brain', 'ventral nerve cord', 'lateral cord neuron', 'embryonic/larval oenocyte', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle')"
CG10125,1,"('maternal', 'pole plasm')"
CG10125,2,"('pole cell', 'rapidly degraded')"
CG10125,4,"('germ cell',)"
CG10125,5,"('germ cell',)"
CG10125,6,"('germ cell',)"
CG10126,1,"('maternal',)"
CG10128,1,"('maternal',)"
CG10128,2,"('ubiquitous', 'faint ubiquitous')"
CG10128,3,"('ubiquitous', 'faint ubiquitous')"
CG10128,4,"('ubiquitous', 'faint ubiquitous')"
CG10128,5,"('ubiquitous', 'faint ubiquitous')"
CG10128,6,"('labral sensory complex', 'ubiquitous', 'embryonic epipharynx', 'faint ubiquitous')"
CG10130,1,"('maternal', 'ubiquitous')"
CG10130,2,"('anlage in statu nascendi', 'ectoderm anlage in statu nascendi', 'procephalic ectoderm anlage in statu nascendi', 'visual anlage in statu nascendi', 'faint ubiquitous', 'foregut anlage in statu nascendi')"
CG10130,3,"('anterior endoderm anlage', 'head mesoderm primordium P4', 'ubiquitous', 'faint ubiquitous', 'procephalic ectoderm anlage', 'foregut anlage')"
CG10130,4,"('head mesoderm primordium P2', 'ubiquitous')"
CG10130,5,"('tracheal primordium', 'dorsal epidermis primordium', 'ubiquitous', 'foregut primordium', 'salivary gland primordium', 'hindgut proper primordium', 'trunk mesoderm primordium', 'head mesoderm primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG10130,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'ubiquitous', 'embryonic head epidermis', 'embryonic foregut', 'atrium', 'embryonic salivary gland', 'embryonic hindgut', 'embryonic midgut')"
CG10134,5,"('ventral nerve cord primordium',)"
CG10134,6,"('embryonic brain', 'ventral nerve cord')"
CG10138,5,"('yolk nuclei',)"
CG10138,6,"('ventral nerve cord', 'lateral cord glia', 'lateral cord', 'amnioserosa', 'embryonic central brain glia', 'embryonic central nervous system', 'yolk nuclei')"
CG10145,2,"('anlage in statu nascendi', 'hindgut anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi')"
CG10145,3,"('hindgut anlage',)"
CG10145,6,"('embryonic central nervous system', 'ventral nerve cord', 'embryonic/larval circulatory system', 'embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle', 'embryonic brain', 'sensory system head', 'ventral sensory complex primordium', 'embryonic/larval pericardial cell', 'dorsal/lateral sensory complexes')"
CG10147,1,"('maternal',)"
CG10147,6,"('embryonic brain', 'ventral nerve cord')"
CG10149,1,"('maternal',)"
CG10149,5,"('ubiquitous',)"
CG10151,6,"('embryonic brain', 'ventral nerve cord')"
CG10155,1,"('maternal',)"
CG10155,6,"('embryonic central nervous system', 'embryonic ventral epidermis', 'ventral nerve cord', 'embryonic dorsal epidermis', 'embryonic brain', 'embryonic midgut', 'ubiquitous', 'embryonic head epidermis')"
CG10159,1,"('maternal',)"
CG10159,2,"('cellular blastoderm', 'subset', 'gap', 'anterior', 'middle', 'ubiquitous')"
CG10159,3,"('faint ubiquitous',)"
CG10159,4,"('procephalic ectoderm primordium', 'ventral nerve cord primordium P3', 'faint ubiquitous')"
CG10159,5,"('embryonic central brain neuron', 'lateral cord neuron', 'embryonic ganglion mother cell', 'neuroblasts of ventral nervous system', 'brain primordium', 'ventral nerve cord primordium', 'faint ubiquitous')"
CG10159,6,"('embryonic central nervous system', 'ventral nerve cord', 'embryonic brain', 'lateral cord surface glia', 'lateral cord glia', 'lateral cord neuron', 'embryonic midgut', 'faint ubiquitous')"
CG10161,1,"('ubiquitous', 'maternal')"
CG10161,2,"('ubiquitous',)"
CG10161,3,"('ubiquitous',)"
CG10161,4,"('ubiquitous',)"
CG10161,5,"('ubiquitous',)"
CG10161,6,"('ubiquitous',)"
CG1017,1,"('maternal',)"
CG1017,2,"('cellular blastoderm', 'ubiquitous')"
CG1017,3,"('ubiquitous', 'faint ubiquitous')"
CG1017,4,"('ubiquitous', 'faint ubiquitous')"
CG1017,5,"('ubiquitous', 'faint ubiquitous')"
CG1017,6,"('ubiquitous', 'embryonic brain', 'ventral nerve cord', 'embryonic midgut')"
CG10170,6,"('embryonic small intestine', 'embryonic midgut')"
CG10171,1,"('maternal',)"
CG10171,2,"('ubiquitous',)"
CG10171,3,"('ventral ectoderm primordium P2', 'trunk mesoderm primordium P2')"
CG10171,6,"('embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx', 'embryonic esophagus', 'embryonic hindgut', 'embryonic large intestine', 'atrium')"
CG10173,2,"('cellular blastoderm', 'subset', 'anlage in statu nascendi', 'foregut anlage in statu nascendi')"
CG10173,5,"('hindgut proper primordium',)"
CG10173,6,"('embryonic/larval tracheal system', 'embryonic hindgut', 'embryonic dorsal epidermis', 'embryonic ventral epidermis')"
CG10175,6,"('embryonic foregut', 'adult foregut precursor', 'embryonic salivary gland', 'embryonic salivary gland body', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'head epidermis dorsal', 'embryonic head epidermis', 'embryonic/larval tracheal system', 'embryonic/larval posterior spiracle', 'embryonic proventriculus')"
CG10176,2,"('cellular blastoderm', 'anlage in statu nascendi', 'yolk', 'dorsal ectoderm anlage in statu nascendi', 'foregut anlage in statu nascendi', 'clypeolabrum anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi')"
CG10176,3,"('dorsal ectoderm primordium', 'foregut anlage', 'clypeolabrum anlage')"
CG10176,4,"('foregut primordium', 'clypeolabrum primordium P2', 'dorsal ectoderm primordium')"
CG10176,5,"('foregut primordium', 'clypeo-labral primordium', 'hindgut proper primordium')"
CG10176,6,"('embryonic hindgut', 'embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx')"
CG10181,6,"('embryonic central brain glia', 'embryonic central brain surface glia', 'lateral cord glia', 'lateral cord surface glia', 'ventral midline')"
CG10191,1,"('maternal',)"
CG10191,2,"('cellular blastoderm', 'ubiquitous')"
CG10191,3,"('ventral ectoderm primordium P2', 'hindgut anlage', 'ubiquitous', 'trunk mesoderm primordium P2', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'head mesoderm primordium P4')"
