gene,stage,direction,image_url
CG10016,5,lateral,"('9806_s.bmp', '9807_s.bmp', '9808_s.bmp', '9809_s.bmp', '9810_s.bmp', '9811_s.bmp', '9819_s.bmp', '9827_s.bmp', '9828_s.bmp', '9829_s.bmp')"
CG10016,5,ventral,"('9830_s.bmp',)"
CG10016,6,dorsal,"('9812_s.bmp', '9816_s.bmp', '9817_s.bmp')"
CG10016,6,lateral,"('9814_s.bmp', '9815_s.bmp')"
CG10021,2,dorsal,"('21019_s.bmp',)"
CG10021,2,lateral,"('21018_s.bmp', '21021_s.bmp', '21022_s.bmp', '21023_s.bmp')"
CG10021,3,dorsal,"('21024_s.bmp',)"
CG10021,3,lateral,"('21025_s.bmp',)"
CG10021,4,dorsal,"('21041_s.bmp',)"
CG10021,4,lateral,"('21026_s.bmp', '21039_s.bmp', '21040_s.bmp')"
CG10021,5,dorsal,"('21029_s.bmp',)"
CG10021,5,lateral,"('21027_s.bmp', '21028_s.bmp', '21030_s.bmp', '21032_s.bmp', '21042_s.bmp', '21043_s.bmp')"
CG10021,5,ventral,"('21044_s.bmp',)"
CG10021,6,dorsal,"('37436_s.bmp', '21033_s.bmp', '21038_s.bmp')"
CG10021,6,lateral,"('21034_s.bmp', '21035_s.bmp')"
CG10026,6,dorsal,"('19079_s.bmp', '19080_s.bmp', '72120_s.bmp')"
CG10026,6,lateral,"('19074_s.bmp', '19075_s.bmp', '19076_s.bmp', '19077_s.bmp', '19078_s.bmp', '19081_s.bmp')"
CG10026,6,ventral,"('72121_s.bmp',)"
CG10033,1,lateral,"('57376_s.bmp', '15368_s.bmp', '15387_s.bmp', '15396_s.bmp')"
CG10033,2,dorsal,"('15397_s.bmp', '15408_s.bmp')"
CG10033,2,lateral,"('15370_s.bmp', '15388_s.bmp', '15389_s.bmp', '57377_s.bmp', '57378_s.bmp', '57379_s.bmp', '57405_s.bmp', '57406_s.bmp', '57407_s.bmp', '57422_s.bmp', '57423_s.bmp')"
CG10033,2,ventral,"('15369_s.bmp', '15398_s.bmp', '57383_s.bmp', '57384_s.bmp', '57403_s.bmp', '57408_s.bmp', '57409_s.bmp')"
CG10033,3,dorsal,"('57381_s.bmp', '57391_s.bmp')"
CG10033,3,lateral,"('57380_s.bmp', '57382_s.bmp', '57392_s.bmp', '15372_s.bmp')"
CG10033,3,ventral,"('15371_s.bmp', '15373_s.bmp', '15374_s.bmp')"
CG10033,4,dorsal,"('15391_s.bmp', '15392_s.bmp')"
CG10033,4,lateral,"('15375_s.bmp', '15393_s.bmp', '15394_s.bmp', '15395_s.bmp', '57393_s.bmp', '57394_s.bmp', '57395_s.bmp', '57396_s.bmp', '57398_s.bmp')"
CG10033,4,ventral,"('57397_s.bmp',)"
CG10033,5,dorsal,"('57399_s.bmp', '57402_s.bmp', '15379_s.bmp', '15385_s.bmp', '15410_s.bmp')"
CG10033,5,lateral,"('57412_s.bmp', '57413_s.bmp', '57417_s.bmp', '57420_s.bmp', '15376_s.bmp', '15377_s.bmp', '15381_s.bmp', '15382_s.bmp', '15383_s.bmp', '15399_s.bmp', '15400_s.bmp')"
CG10033,5,ventral,"('57400_s.bmp', '57401_s.bmp', '57410_s.bmp', '57411_s.bmp', '57414_s.bmp', '57415_s.bmp', '57416_s.bmp', '15378_s.bmp', '15384_s.bmp', '15409_s.bmp', '15412_s.bmp')"
CG10033,6,dorsal,"('15386_s.bmp', '15414_s.bmp', '57421_s.bmp', '57424_s.bmp')"
CG10033,6,lateral,"('15404_s.bmp', '15405_s.bmp', '15406_s.bmp', '15407_s.bmp', '57425_s.bmp')"
CG10033,6,ventral,"('15403_s.bmp',)"
CG10036,4,dorsal,"('19522_s.bmp', '19525_s.bmp', '19522_s.bmp', '19525_s.bmp')"
CG10036,4,lateral,"('19524_s.bmp', '19524_s.bmp')"
CG10036,5,lateral,"('19526_s.bmp', '19527_s.bmp', '19526_s.bmp', '19527_s.bmp')"
CG10036,6,dorsal,"('19528_s.bmp', '19530_s.bmp', '19531_s.bmp', '19528_s.bmp', '19530_s.bmp', '19531_s.bmp')"
CG10036,6,lateral,"('19529_s.bmp', '19529_s.bmp')"
CG10037,2,dorsal,"('106025_s.bmp', '106035_s.bmp', '106036_s.bmp')"
CG10037,2,lateral,"('106009_s.bmp', '106010_s.bmp', '106011_s.bmp', '106026_s.bmp', '106027_s.bmp', '106028_s.bmp', '106038_s.bmp', '106039_s.bmp', '106040_s.bmp', '106052_s.bmp')"
CG10037,2,ventral,"('106030_s.bmp',)"
CG10037,4,dorsal,"('106012_s.bmp',)"
CG10037,4,lateral,"('106014_s.bmp', '106015_s.bmp', '106044_s.bmp', '106045_s.bmp', '106054_s.bmp')"
CG10037,4,ventral,"('106046_s.bmp',)"
CG10037,5,dorsal,"('106018_s.bmp', '106047_s.bmp', '106048_s.bmp', '106055_s.bmp')"
CG10037,5,lateral,"('106019_s.bmp', '106020_s.bmp', '106021_s.bmp', '106022_s.bmp', '106049_s.bmp', '106050_s.bmp', '106056_s.bmp', '106057_s.bmp')"
CG10037,5,ventral,"('106016_s.bmp', '106017_s.bmp', '106058_s.bmp')"
CG10037,6,dorsal,"('106023_s.bmp', '106031_s.bmp', '106059_s.bmp', '106060_s.bmp')"
CG10037,6,lateral,"('106061_s.bmp', '106062_s.bmp', '106064_s.bmp', '106066_s.bmp')"
CG10037,6,ventral,"('106024_s.bmp',)"
CG10045,1,lateral,"('42728_s.bmp', '42729_s.bmp')"
CG10045,2,dorsal,"('42730_s.bmp',)"
CG10045,2,lateral,"('42731_s.bmp',)"
CG10045,4,dorsal,"('42738_s.bmp', '42739_s.bmp')"
CG10045,4,lateral,"('42736_s.bmp', '42737_s.bmp')"
CG10045,5,dorsal,"('42743_s.bmp',)"
CG10045,5,lateral,"('42742_s.bmp',)"
CG10045,5,ventral,"('42741_s.bmp',)"
CG10045,6,dorsal,"('42744_s.bmp', '42752_s.bmp', '42755_s.bmp')"
CG10045,6,lateral,"('42750_s.bmp',)"
CG10045,6,ventral,"('42745_s.bmp', '42754_s.bmp')"
CG10047,6,dorsal,"('38843_s.bmp',)"
CG10047,6,lateral,"('38836_s.bmp', '38841_s.bmp', '38842_s.bmp')"
CG10047,6,ventral,"('38837_s.bmp', '38838_s.bmp', '38844_s.bmp')"
CG10050,1,lateral,"('32697_s.bmp', '32698_s.bmp', '32699_s.bmp', '32701_s.bmp')"
CG10052,2,dorsal,"('34757_s.bmp',)"
CG10052,2,lateral,"('34750_s.bmp', '34759_s.bmp')"
CG10052,2,ventral,"('34758_s.bmp',)"
CG10052,3,dorsal,"('34766_s.bmp',)"
CG10052,3,lateral,"('34767_s.bmp', '34768_s.bmp')"
CG10052,4,dorsal,"('34751_s.bmp',)"
CG10052,4,lateral,"('34752_s.bmp', '34753_s.bmp')"
CG10052,5,dorsal,"('34755_s.bmp',)"
CG10052,5,lateral,"('34754_s.bmp', '34769_s.bmp')"
CG10052,6,dorsal,"('34756_s.bmp', '34761_s.bmp', '34763_s.bmp')"
CG10052,6,lateral,"('34760_s.bmp', '34765_s.bmp')"
CG10059,2,lateral,"('31552_s.bmp', '31553_s.bmp')"
CG10059,4,dorsal,"('31554_s.bmp', '31556_s.bmp')"
CG10059,4,lateral,"('31555_s.bmp',)"
CG10059,4,ventral,"('31557_s.bmp',)"
CG10059,5,lateral,"('31558_s.bmp',)"
CG10059,6,dorsal,"('31559_s.bmp',)"
CG10059,6,lateral,"('31561_s.bmp',)"
CG10060,1,lateral,"('55343_s.bmp',)"
CG10060,3,lateral,"('55345_s.bmp',)"
CG10060,4,lateral,"('55346_s.bmp',)"
CG10060,6,dorsal,"('55350_s.bmp',)"
CG10060,6,lateral,"('55349_s.bmp',)"
CG10060,6,ventral,"('55348_s.bmp',)"
CG10064,6,dorsal,"('18923_s.bmp',)"
CG10064,6,lateral,"('18910_s.bmp', '18911_s.bmp', '18915_s.bmp', '18916_s.bmp', '18919_s.bmp')"
CG10064,6,ventral,"('44292_s.bmp', '44298_s.bmp', '44299_s.bmp', '18917_s.bmp', '18918_s.bmp')"
CG10067,5,dorsal,"('34632_s.bmp',)"
CG10067,5,lateral,"('34626_s.bmp', '34631_s.bmp', '23820_s.bmp', '23821_s.bmp')"
CG10067,6,dorsal,"('34627_s.bmp',)"
CG10067,6,lateral,"('23822_s.bmp', '34628_s.bmp', '34629_s.bmp')"
CG10067,6,ventral,"('23824_s.bmp', '34630_s.bmp')"
CG1007,1,lateral,"('20951_s.bmp', '20952_s.bmp')"
CG1007,2,dorsal,"('20921_s.bmp',)"
CG1007,2,lateral,"('20919_s.bmp', '20922_s.bmp', '20945_s.bmp', '20953_s.bmp')"
CG1007,3,dorsal,"('20924_s.bmp', '20926_s.bmp', '20929_s.bmp', '20954_s.bmp')"
CG1007,3,lateral,"('20925_s.bmp', '20927_s.bmp', '20928_s.bmp')"
CG1007,3,ventral,"('20930_s.bmp', '20931_s.bmp')"
CG1007,4,dorsal,"('20955_s.bmp',)"
CG1007,4,lateral,"('20933_s.bmp',)"
CG1007,5,dorsal,"('20946_s.bmp',)"
CG1007,5,lateral,"('20934_s.bmp', '20935_s.bmp', '20936_s.bmp', '20937_s.bmp', '20938_s.bmp', '20939_s.bmp', '20940_s.bmp', '20941_s.bmp', '20949_s.bmp', '20950_s.bmp')"
CG1007,6,lateral,"('20944_s.bmp',)"
CG1007,6,ventral,"('20942_s.bmp',)"
CG10072,1,lateral,"('10739_s.bmp', '10739_s.bmp')"
CG10072,2,lateral,"('10700_s.bmp', '10700_s.bmp')"
CG10072,3,dorsal,"('10701_s.bmp', '10702_s.bmp', '10701_s.bmp', '10702_s.bmp')"
CG10072,3,lateral,"('10703_s.bmp', '10703_s.bmp')"
CG10072,4,dorsal,"('10729_s.bmp', '10730_s.bmp', '10732_s.bmp', '10729_s.bmp', '10730_s.bmp', '10732_s.bmp')"
CG10072,4,lateral,"('10731_s.bmp', '10731_s.bmp')"
CG10072,5,dorsal,"('10706_s.bmp', '10707_s.bmp', '10711_s.bmp', '10713_s.bmp', '10706_s.bmp', '10707_s.bmp', '10711_s.bmp', '10713_s.bmp')"
CG10072,5,lateral,"('10704_s.bmp', '10705_s.bmp', '10709_s.bmp', '10710_s.bmp', '10716_s.bmp', '10717_s.bmp', '10718_s.bmp', '10719_s.bmp', '10720_s.bmp', '10721_s.bmp', '10735_s.bmp', '66735_s.bmp', '66736_s.bmp', '66737_s.bmp', '10704_s.bmp', '10705_s.bmp', '10709_s.bmp', '10710_s.bmp', '10716_s.bmp', '10717_s.bmp', '10718_s.bmp', '10719_s.bmp', '10720_s.bmp', '10721_s.bmp', '10735_s.bmp', '66735_s.bmp', '66736_s.bmp', '66737_s.bmp')"
CG10072,5,ventral,"('10708_s.bmp', '10714_s.bmp', '10715_s.bmp', '10733_s.bmp', '10734_s.bmp', '10708_s.bmp', '10714_s.bmp', '10715_s.bmp', '10733_s.bmp', '10734_s.bmp')"
CG10072,6,dorsal,"('66739_s.bmp', '10727_s.bmp', '10728_s.bmp', '10727_s.bmp', '10728_s.bmp', '66739_s.bmp')"
CG10072,6,lateral,"('10722_s.bmp', '10723_s.bmp', '10725_s.bmp', '10726_s.bmp', '10736_s.bmp', '10738_s.bmp', '10741_s.bmp', '10742_s.bmp', '10722_s.bmp', '10723_s.bmp', '10725_s.bmp', '10726_s.bmp', '10736_s.bmp', '10738_s.bmp', '10741_s.bmp', '10742_s.bmp')"
CG10072,6,ventral,"('10724_s.bmp', '10737_s.bmp', '10724_s.bmp', '10737_s.bmp')"
CG10075,1,lateral,"('38991_s.bmp',)"
CG10075,2,lateral,"('38992_s.bmp',)"
CG10075,4,dorsal,"('38994_s.bmp',)"
CG10075,4,lateral,"('38995_s.bmp',)"
CG10075,5,lateral,"('38996_s.bmp',)"
CG10075,6,dorsal,"('38997_s.bmp', '38999_s.bmp')"
CG10075,6,lateral,"('38998_s.bmp', '39000_s.bmp')"
CG10076,1,lateral,"('10885_s.bmp', '10886_s.bmp', '10887_s.bmp', '10888_s.bmp', '10889_s.bmp')"
CG10076,5,dorsal,"('10901_s.bmp',)"
CG10076,5,lateral,"('10892_s.bmp', '10893_s.bmp', '10894_s.bmp', '10895_s.bmp', '10899_s.bmp', '10900_s.bmp', '10909_s.bmp', '10910_s.bmp', '10911_s.bmp', '10912_s.bmp', '10913_s.bmp', '10922_s.bmp')"
CG10076,6,dorsal,"('10914_s.bmp', '10919_s.bmp', '10920_s.bmp')"
CG10076,6,lateral,"('10902_s.bmp', '10906_s.bmp', '10918_s.bmp')"
CG10076,6,ventral,"('10904_s.bmp', '10905_s.bmp', '10915_s.bmp', '10916_s.bmp', '10917_s.bmp', '10921_s.bmp')"
CG10078,4,dorsal,"('70083_s.bmp',)"
CG10078,4,lateral,"('47587_s.bmp', '70084_s.bmp')"
CG10078,5,dorsal,"('70088_s.bmp',)"
CG10078,5,lateral,"('47588_s.bmp', '70085_s.bmp', '70087_s.bmp')"
CG10078,5,ventral,"('70086_s.bmp',)"
CG10078,6,dorsal,"('47589_s.bmp', '47590_s.bmp', '47591_s.bmp', '47592_s.bmp', '70090_s.bmp')"
CG10079,2,dorsal,"('14178_s.bmp',)"
CG10079,2,lateral,"('14145_s.bmp', '14147_s.bmp', '14148_s.bmp', '14177_s.bmp')"
CG10079,2,ventral,"('14146_s.bmp', '14179_s.bmp')"
CG10079,3,lateral,"('14150_s.bmp',)"
CG10079,3,ventral,"('14149_s.bmp',)"
CG10079,4,dorsal,"('14169_s.bmp',)"
CG10079,4,lateral,"('14168_s.bmp', '14171_s.bmp')"
CG10079,5,lateral,"('14151_s.bmp', '14152_s.bmp', '14156_s.bmp', '14157_s.bmp', '14161_s.bmp', '14162_s.bmp', '14163_s.bmp', '14172_s.bmp', '14173_s.bmp', '14176_s.bmp')"
CG10079,5,ventral,"('14153_s.bmp', '14154_s.bmp', '14155_s.bmp', '14158_s.bmp', '14159_s.bmp', '14160_s.bmp', '14174_s.bmp')"
CG10079,6,dorsal,"('14164_s.bmp', '14165_s.bmp', '14167_s.bmp')"
CG10079,6,lateral,"('14175_s.bmp',)"
CG10079,6,ventral,"('14166_s.bmp',)"
CG10082,1,lateral,"('47276_s.bmp',)"
CG10082,2,dorsal,"('47282_s.bmp', '47283_s.bmp', '47286_s.bmp')"
CG10082,2,lateral,"('47277_s.bmp', '47281_s.bmp', '47287_s.bmp')"
CG10082,2,ventral,"('47280_s.bmp',)"
CG10082,3,lateral,"('47288_s.bmp', '47289_s.bmp')"
CG10082,4,dorsal,"('47291_s.bmp', '47296_s.bmp')"
CG10082,4,lateral,"('47290_s.bmp',)"
CG10082,5,lateral,"('47292_s.bmp', '47293_s.bmp', '47294_s.bmp', '47297_s.bmp')"
CG10082,6,dorsal,"('47299_s.bmp',)"
CG10082,6,lateral,"('47298_s.bmp', '47300_s.bmp')"
CG10086,6,dorsal,"('33180_s.bmp', '33181_s.bmp', '33182_s.bmp')"
CG1009,1,lateral,"('73371_s.bmp',)"
CG1009,5,dorsal,"('73377_s.bmp',)"
CG1009,5,lateral,"('73378_s.bmp', '73379_s.bmp')"
CG10106,1,lateral,"('27099_s.bmp', '27100_s.bmp')"
CG10106,2,lateral,"('27101_s.bmp', '27103_s.bmp', '27104_s.bmp', '27105_s.bmp')"
CG10106,5,dorsal,"('27111_s.bmp',)"
CG10106,5,lateral,"('27108_s.bmp', '27109_s.bmp', '27110_s.bmp', '27112_s.bmp', '27114_s.bmp')"
CG10106,6,dorsal,"('27117_s.bmp',)"
CG10106,6,lateral,"('27115_s.bmp', '27116_s.bmp')"
CG10106,6,ventral,"('27119_s.bmp', '27120_s.bmp', '27121_s.bmp')"
CG10107,1,lateral,"('7683_s.bmp',)"
CG10107,2,lateral,"('7684_s.bmp',)"
CG10107,3,dorsal,"('7692_s.bmp',)"
CG10107,4,dorsal,"('7685_s.bmp',)"
CG10107,5,lateral,"('7686_s.bmp', '7687_s.bmp', '7688_s.bmp', '7691_s.bmp', '7693_s.bmp')"
CG10107,5,ventral,"('7689_s.bmp', '7690_s.bmp')"
CG10108,2,dorsal,"('40428_s.bmp',)"
CG10108,2,lateral,"('40427_s.bmp', '40430_s.bmp', '40431_s.bmp', '40432_s.bmp', '40433_s.bmp', '40434_s.bmp', '40435_s.bmp')"
CG10108,2,ventral,"('40426_s.bmp', '40429_s.bmp', '40436_s.bmp')"
CG10108,3,lateral,"('40437_s.bmp', '40439_s.bmp')"
CG10108,3,ventral,"('40438_s.bmp', '40440_s.bmp')"
CG10108,4,dorsal,"('40441_s.bmp', '40444_s.bmp')"
CG10108,4,lateral,"('40442_s.bmp', '40443_s.bmp')"
CG10108,5,dorsal,"('40445_s.bmp', '40448_s.bmp', '40449_s.bmp')"
CG10108,5,lateral,"('40447_s.bmp', '40452_s.bmp', '40453_s.bmp')"
CG10108,6,dorsal,"('40456_s.bmp', '40457_s.bmp', '40458_s.bmp')"
CG10108,6,ventral,"('40461_s.bmp',)"
CG10112,6,dorsal,"('30052_s.bmp', '30053_s.bmp', '30063_s.bmp', '30066_s.bmp', '30067_s.bmp', '30070_s.bmp')"
CG10112,6,lateral,"('30055_s.bmp', '30056_s.bmp', '30060_s.bmp', '30072_s.bmp')"
CG10112,6,ventral,"('30057_s.bmp', '30058_s.bmp', '30059_s.bmp', '30071_s.bmp')"
CG10118,6,dorsal,"('41184_s.bmp',)"
CG10118,6,lateral,"('41177_s.bmp', '41178_s.bmp')"
CG10118,6,ventral,"('41173_s.bmp', '41174_s.bmp', '41175_s.bmp', '41176_s.bmp')"
CG10119,1,lateral,"('73383_s.bmp', '73384_s.bmp')"
CG10120,1,lateral,"('65426_s.bmp',)"
CG10120,2,dorsal,"('65419_s.bmp', '65429_s.bmp')"
CG10120,2,lateral,"('65420_s.bmp', '65427_s.bmp')"
CG10120,2,ventral,"('65428_s.bmp',)"
CG10120,5,dorsal,"('65421_s.bmp', '65424_s.bmp')"
CG10120,5,lateral,"('65422_s.bmp', '65423_s.bmp', '65431_s.bmp', '65434_s.bmp', '65435_s.bmp')"
CG10120,5,ventral,"('65433_s.bmp',)"
CG10120,6,dorsal,"('65437_s.bmp', '65443_s.bmp')"
CG10120,6,lateral,"('65425_s.bmp', '65439_s.bmp', '65441_s.bmp')"
CG10120,6,ventral,"('65442_s.bmp',)"
CG10121,5,lateral,"('8645_s.bmp', '8647_s.bmp', '8648_s.bmp', '8649_s.bmp', '8666_s.bmp')"
CG10121,6,dorsal,"('8651_s.bmp', '8669_s.bmp')"
CG10121,6,lateral,"('8650_s.bmp', '8653_s.bmp', '8657_s.bmp', '8658_s.bmp', '8659_s.bmp', '8661_s.bmp', '8662_s.bmp', '8663_s.bmp')"
CG10121,6,ventral,"('8652_s.bmp', '8668_s.bmp')"
CG10125,1,lateral,"('30374_s.bmp', '30375_s.bmp')"
CG10125,2,lateral,"('30376_s.bmp', '30377_s.bmp', '30378_s.bmp')"
CG10125,4,lateral,"('30379_s.bmp', '30380_s.bmp', '30381_s.bmp')"
CG10125,5,dorsal,"('30382_s.bmp', '30386_s.bmp', '30387_s.bmp')"
CG10125,5,lateral,"('30384_s.bmp', '30385_s.bmp', '30388_s.bmp')"
CG10125,6,dorsal,"('30393_s.bmp', '30396_s.bmp')"
CG10125,6,lateral,"('30394_s.bmp', '30395_s.bmp')"
CG10126,1,lateral,"('20494_s.bmp',)"
CG10128,1,lateral,"('66449_s.bmp',)"
CG10128,2,lateral,"('66450_s.bmp',)"
CG10128,4,lateral,"('66451_s.bmp',)"
CG10128,5,lateral,"('66452_s.bmp', '66453_s.bmp')"
CG10128,6,dorsal,"('66457_s.bmp', '66460_s.bmp')"
CG10128,6,lateral,"('66454_s.bmp', '66455_s.bmp')"
CG10130,1,lateral,"('43518_s.bmp',)"
CG10130,2,dorsal,"('43522_s.bmp', '43528_s.bmp')"
CG10130,2,lateral,"('43519_s.bmp', '43520_s.bmp', '43524_s.bmp', '43527_s.bmp', '43529_s.bmp', '43530_s.bmp', '43531_s.bmp', '43542_s.bmp')"
CG10130,2,ventral,"('43525_s.bmp', '43526_s.bmp')"
CG10130,3,lateral,"('43532_s.bmp', '43533_s.bmp', '43534_s.bmp', '43539_s.bmp')"
CG10130,4,dorsal,"('43535_s.bmp', '43536_s.bmp')"
CG10130,5,lateral,"('43537_s.bmp', '43538_s.bmp')"
CG10130,5,ventral,"('43543_s.bmp', '43544_s.bmp')"
CG10130,6,dorsal,"('43540_s.bmp', '43541_s.bmp')"
CG10138,5,dorsal,"('20087_s.bmp', '20088_s.bmp')"
CG10138,5,lateral,"('20086_s.bmp', '20089_s.bmp')"
CG10138,6,dorsal,"('20092_s.bmp',)"
CG10138,6,lateral,"('20090_s.bmp', '20091_s.bmp', '20094_s.bmp', '20103_s.bmp')"
CG10138,6,ventral,"('20093_s.bmp',)"
CG10145,2,lateral,"('35582_s.bmp', '35584_s.bmp', '35585_s.bmp')"
CG10145,3,dorsal,"('35587_s.bmp', '35588_s.bmp')"
CG10145,3,lateral,"('35586_s.bmp', '35589_s.bmp')"
CG10145,6,dorsal,"('35602_s.bmp', '35603_s.bmp', '35611_s.bmp', '35615_s.bmp', '35623_s.bmp')"
CG10145,6,lateral,"('35595_s.bmp', '35596_s.bmp', '35598_s.bmp', '35599_s.bmp', '35601_s.bmp', '35612_s.bmp', '35613_s.bmp')"
CG10145,6,ventral,"('35614_s.bmp',)"
CG10149,1,lateral,"('73401_s.bmp',)"
CG10149,5,lateral,"('73406_s.bmp', '73407_s.bmp')"
CG10151,6,dorsal,"('5291_s.bmp',)"
CG10151,6,lateral,"('5289_s.bmp',)"
CG10151,6,ventral,"('5290_s.bmp', '5292_s.bmp')"
CG10155,1,lateral,"('47600_s.bmp',)"
CG10155,6,lateral,"('47604_s.bmp', '47605_s.bmp')"
CG10159,1,lateral,"('7708_s.bmp', '64061_s.bmp')"
CG10159,2,dorsal,"('64062_s.bmp', '64067_s.bmp', '7721_s.bmp')"
CG10159,2,lateral,"('64063_s.bmp', '64064_s.bmp', '64065_s.bmp', '7709_s.bmp', '7710_s.bmp', '7711_s.bmp', '7712_s.bmp', '7716_s.bmp', '7717_s.bmp', '7718_s.bmp', '7722_s.bmp', '7723_s.bmp', '7727_s.bmp', '7728_s.bmp')"
CG10159,3,lateral,"('64069_s.bmp', '64070_s.bmp')"
CG10159,4,dorsal,"('64071_s.bmp',)"
CG10159,4,lateral,"('7713_s.bmp', '7724_s.bmp')"
CG10159,5,dorsal,"('64072_s.bmp',)"
CG10159,5,lateral,"('7714_s.bmp', '7720_s.bmp', '64073_s.bmp', '64074_s.bmp')"
CG10159,6,lateral,"('64075_s.bmp', '7725_s.bmp', '7726_s.bmp')"
CG10159,6,ventral,"('64076_s.bmp',)"
CG1017,1,lateral,"('60474_s.bmp',)"
CG1017,2,dorsal,"('60476_s.bmp',)"
CG1017,2,lateral,"('60475_s.bmp', '60478_s.bmp', '60481_s.bmp')"
CG1017,2,ventral,"('60477_s.bmp', '60479_s.bmp')"
CG1017,4,lateral,"('60482_s.bmp',)"
CG1017,5,lateral,"('60483_s.bmp',)"
CG1017,6,dorsal,"('60486_s.bmp',)"
CG1017,6,lateral,"('60484_s.bmp',)"
CG10170,6,dorsal,"('74508_s.bmp', '74509_s.bmp', '74510_s.bmp')"
CG10170,6,lateral,"('74511_s.bmp',)"
CG10170,6,ventral,"('74512_s.bmp', '74513_s.bmp')"
CG10171,1,lateral,"('68473_s.bmp',)"
CG10171,2,lateral,"('68474_s.bmp', '68475_s.bmp', '68476_s.bmp')"
CG10171,3,ventral,"('68477_s.bmp',)"
CG10171,6,dorsal,"('68480_s.bmp', '68482_s.bmp', '68484_s.bmp')"
CG10171,6,lateral,"('68481_s.bmp', '68483_s.bmp')"
CG10173,2,dorsal,"('28646_s.bmp',)"
CG10173,2,lateral,"('28644_s.bmp', '28645_s.bmp', '28647_s.bmp')"
CG10173,5,dorsal,"('28650_s.bmp', '28651_s.bmp')"
CG10173,5,lateral,"('28649_s.bmp',)"
CG10173,6,dorsal,"('28652_s.bmp', '28653_s.bmp', '28654_s.bmp', '28655_s.bmp')"
CG10173,6,lateral,"('28658_s.bmp',)"
CG10175,6,dorsal,"('24741_s.bmp', '24744_s.bmp', '60010_s.bmp')"
CG10175,6,lateral,"('24739_s.bmp', '24740_s.bmp', '24742_s.bmp', '24743_s.bmp', '24745_s.bmp', '24747_s.bmp', '60011_s.bmp', '60012_s.bmp', '60013_s.bmp', '60016_s.bmp')"
CG10175,6,ventral,"('24746_s.bmp', '60014_s.bmp')"
CG10176,2,dorsal,"('32263_s.bmp', '32264_s.bmp', '32266_s.bmp')"
CG10176,2,lateral,"('32262_s.bmp', '32265_s.bmp', '32267_s.bmp', '32268_s.bmp', '32269_s.bmp', '32270_s.bmp', '32272_s.bmp')"
CG10176,2,ventral,"('32271_s.bmp',)"
CG10176,3,lateral,"('32273_s.bmp', '32274_s.bmp')"
CG10176,4,dorsal,"('32276_s.bmp',)"
CG10176,4,lateral,"('32275_s.bmp', '32277_s.bmp', '32278_s.bmp')"
CG10176,5,ventral,"('32279_s.bmp', '32281_s.bmp')"
CG10176,6,lateral,"('32282_s.bmp', '32283_s.bmp')"
CG10181,6,lateral,"('27621_s.bmp', '27629_s.bmp', '27630_s.bmp', '27631_s.bmp')"
CG10181,6,ventral,"('27616_s.bmp', '27617_s.bmp')"
